,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Allstar True
148,149,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149,150,Keyonte George,PG,20,UTA,33,16,25.0,3.5,9.4,0.369,1.7,5.2,0.331,1.7,4.2,0.416,0.461,2.2,2.8,0.787,0.4,2.6,3.0,4.5,0.5,0.1,2.1,1.1,10.9,0
150,151,Paul George,PF,33,LAC,35,35,34.6,8.2,17.7,0.464,3.5,8.4,0.414,4.7,9.3,0.509,0.562,3.5,3.8,0.918,0.7,4.9,5.6,3.8,1.6,0.4,2.1,3.0,23.5,1
151,152,Taj Gibson,PF,38,NYK,10,0,9.7,0.7,1.4,0.5,0.0,0.4,0.0,0.7,1.0,0.7,0.5,0.0,0.0,0.0,0.6,1.2,1.8,0.5,0.1,0.6,0.2,2.0,1.4,0
152,153,Josh Giddey,SG,21,OKC,35,35,25.1,4.9,10.8,0.456,1.0,2.7,0.372,3.9,8.1,0.484,0.503,1.1,1.3,0.804,1.4,4.6,6.0,4.5,0.8,0.4,2.4,1.4,11.9,0
153,154,Harry Giles,C,25,BRK,10,0,5.9,1.7,3.3,0.515,0.1,0.7,0.143,1.6,2.6,0.615,0.53,0.6,1.1,0.545,0.8,0.9,1.7,0.2,0.1,0.3,0.2,0.9,4.1,0
154,155,Shai Gilgeous-Alexander,PG,25,OKC,35,35,34.8,11.3,20.5,0.552,1.2,3.5,0.352,10.1,17.0,0.593,0.582,7.6,8.6,0.887,0.8,5.1,5.9,6.4,2.4,0.7,2.0,2.6,31.4,1
155,156,Anthony Gill,PF,31,WAS,23,0,6.3,0.9,1.9,0.488,0.0,0.4,0.1,0.9,1.4,0.606,0.5,0.5,0.7,0.75,0.5,0.9,1.4,0.4,0.1,0.3,0.4,0.5,2.4,0
156,157,Collin Gillespie,PG,24,DEN,13,0,7.3,0.8,1.8,0.435,0.3,1.0,0.308,0.5,0.8,0.6,0.522,0.3,0.4,0.8,0.1,0.3,0.4,0.7,0.4,0.0,0.4,0.8,2.2,0
157,158,Jacob Gilyard,PG,25,MEM,20,8,15.6,1.3,3.1,0.426,1.2,2.6,0.442,0.2,0.5,0.333,0.615,0.1,0.1,1.0,0.3,0.7,1.0,3.0,0.6,0.1,0.7,1.0,3.8,0
158,159,Rudy Gobert,C,31,MIN,36,36,32.5,4.9,7.8,0.626,0.0,0.0,0.0,4.9,7.8,0.629,0.626,3.0,4.8,0.626,3.4,8.6,12.0,1.2,0.8,2.1,1.7,2.8,12.8,0
159,160,Jordan Goodwin,PG,25,PHO,33,0,16.2,2.0,5.5,0.372,0.7,2.4,0.291,1.3,3.1,0.436,0.436,0.7,0.8,0.852,1.2,2.3,3.5,2.2,0.6,0.2,0.8,1.2,5.5,0
160,161,Aaron Gordon,PF,28,DEN,33,33,31.5,5.5,10.2,0.546,0.6,1.9,0.317,4.9,8.2,0.599,0.576,2.1,3.3,0.636,2.8,3.8,6.6,3.2,0.9,0.6,1.3,1.7,13.8,0
161,162,Eric Gordon,SG,35,PHO,31,19,31.2,5.0,10.8,0.463,2.7,6.6,0.405,2.3,4.2,0.554,0.587,0.8,1.1,0.765,0.3,1.8,2.1,2.4,0.9,0.5,1.3,1.4,13.5,0
162,163,Devonte' Graham,PG,28,SAS,7,0,9.7,1.0,2.7,0.368,0.6,1.7,0.333,0.4,1.0,0.429,0.474,0.9,1.1,0.75,0.3,1.1,1.4,2.4,0.3,0.1,0.4,0.4,3.4,0
163,164,Jerami Grant,PF,29,POR,32,32,34.0,7.5,16.2,0.461,2.3,5.6,0.417,5.1,10.6,0.485,0.534,4.5,5.6,0.799,0.6,3.0,3.6,2.5,0.7,0.7,2.3,2.3,21.8,0
164,165,A.J. Green,SG,24,MIL,23,0,7.2,1.1,2.3,0.463,0.9,2.0,0.447,0.2,0.3,0.571,0.657,0.0,0.0,1.0,0.2,0.6,0.7,0.6,0.0,0.0,0.0,0.8,3.1,0
165,166,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0
166,167,Draymond Green,PF,33,GSW,15,15,25.1,3.4,6.9,0.49,1.2,2.8,0.429,2.2,4.1,0.532,0.577,1.7,2.0,0.833,1.5,4.1,5.5,5.8,0.4,0.7,2.4,3.0,9.7,0
167,168,Jalen Green,SG,21,HOU,36,36,30.4,5.8,14.3,0.403,2.2,6.4,0.346,3.5,7.9,0.449,0.481,3.6,4.5,0.795,0.4,4.3,4.6,3.3,0.6,0.3,2.2,1.3,17.3,0
168,169,Jeff Green,PF,37,HOU,35,1,16.5,2.2,4.1,0.545,0.4,1.2,0.302,1.9,2.9,0.65,0.591,1.9,2.3,0.815,0.7,1.3,2.0,0.8,0.1,0.5,0.7,1.5,6.7,0
169,170,Josh Green,SG,23,DAL,26,9,24.7,2.5,5.7,0.449,1.0,2.9,0.347,1.5,2.8,0.556,0.537,0.5,0.8,0.636,0.5,2.3,2.8,2.4,0.8,0.2,0.9,1.7,6.6,0
170,171,AJ Griffin,SF,20,ATL,13,0,9.0,0.8,2.8,0.297,0.7,2.2,0.321,0.2,0.7,0.222,0.419,0.2,0.2,1.0,0.2,0.8,0.9,0.3,0.1,0.0,0.5,0.5,2.5,0
171,172,Quentin Grimes,SG,23,NYK,34,18,20.3,2.4,6.1,0.401,1.8,4.6,0.386,0.6,1.4,0.449,0.548,0.3,0.4,0.714,0.3,1.4,1.7,1.1,0.7,0.1,0.5,1.5,7.0,0
172,173,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0
173,174,Rui Hachimura,PF,25,LAL,25,5,23.5,4.5,9.2,0.485,1.1,3.0,0.368,3.4,6.2,0.542,0.545,1.5,2.0,0.76,0.8,2.8,3.6,1.1,0.7,0.2,0.8,1.4,11.6,0
174,175,Tyrese Haliburton,PG,23,IND,33,33,33.4,8.4,16.9,0.497,3.4,8.4,0.403,5.0,8.5,0.591,0.597,3.4,3.9,0.868,0.6,3.6,4.2,12.5,1.1,0.7,2.5,1.1,23.6,1
175,176,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,0.286,0.1,1.0,0.125,0.4,0.8,0.5,0.321,0.1,0.3,0.5,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,0
176,177,Tim Hardaway Jr.,SF,31,DAL,35,4,28.8,5.9,14.2,0.414,3.1,8.7,0.354,2.8,5.5,0.51,0.523,2.2,2.5,0.865,0.3,3.3,3.6,1.7,0.4,0.0,0.8,1.4,17.1,0
177,178,James Harden,PG,34,LAC,32,32,33.9,5.1,11.1,0.463,2.7,6.4,0.426,2.4,4.7,0.513,0.586,4.3,4.9,0.873,0.3,4.4,4.8,8.4,1.3,0.8,2.7,2.1,17.3,0
178,179,Jaden Hardy,SG,21,DAL,33,4,15.3,2.9,7.5,0.386,1.4,3.8,0.354,1.5,3.7,0.418,0.476,0.7,1.1,0.667,0.3,1.7,2.0,1.6,0.4,0.1,0.8,1.2,7.9,0
179,180,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
180,181,Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,0.429,1.3,4.0,0.333,1.1,1.7,0.652,0.545,0.9,1.1,0.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,0
181,182,Joe Harris,SG,32,DET,14,0,10.9,0.9,2.6,0.361,0.7,2.1,0.345,0.2,0.5,0.429,0.5,0.1,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0.1,0.2,1.3,2.6,0
182,183,Tobias Harris,PF,31,PHI,35,35,33.9,6.7,13.1,0.51,1.2,3.3,0.359,5.5,9.7,0.562,0.556,2.9,3.2,0.885,1.0,5.2,6.2,3.1,0.9,0.5,1.6,1.7,17.4,0
183,184,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0
184,185,Josh Hart,SF,28,NYK,37,6,28.4,2.9,6.5,0.448,0.9,2.8,0.333,2.0,3.7,0.533,0.519,0.7,0.8,0.806,1.2,5.1,6.3,2.8,0.8,0.2,1.2,1.9,7.4,0
185,186,Isaiah Hartenstein,C,25,NYK,37,11,24.2,2.6,4.3,0.604,0.0,0.1,0.333,2.6,4.2,0.609,0.607,1.4,2.0,0.685,3.2,4.6,7.7,1.8,1.2,1.1,1.1,2.9,6.6,0
186,187,Sam Hauser,SF,26,BOS,36,4,22.1,2.9,6.6,0.449,2.3,5.6,0.416,0.6,0.9,0.647,0.627,0.2,0.3,0.8,0.8,2.8,3.6,1.0,0.4,0.3,0.5,1.5,8.4,0
187,188,Jordan Hawkins,SG,21,NOP,33,9,22.2,3.4,8.8,0.39,2.1,5.6,0.371,1.3,3.2,0.423,0.509,1.4,1.7,0.855,0.5,2.3,2.8,1.4,0.3,0.1,0.7,1.5,10.4,0
188,189,Jaxson Hayes,C,23,LAL,31,1,10.2,1.2,1.9,0.655,0.0,0.1,0.0,1.2,1.7,0.704,0.655,0.5,0.9,0.536,0.5,1.4,1.8,0.3,0.2,0.3,0.5,1.7,2.9,0
189,190,Killian Hayes,PG,22,DET,33,23,24.7,3.0,7.6,0.4,0.6,2.0,0.292,2.5,5.6,0.438,0.438,0.9,1.4,0.674,0.3,2.6,2.9,4.6,1.0,0.5,1.3,1.8,7.6,0
190,191,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,0.468,0.9,2.4,0.361,4.7,9.4,0.496,0.505,2.5,3.2,0.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,0
191,192,Scoot Henderson,PG,19,POR,27,12,27.8,4.5,12.1,0.371,1.2,4.0,0.308,3.3,8.1,0.402,0.422,2.0,2.6,0.768,0.9,2.1,2.9,5.0,0.6,0.3,3.2,3.4,12.1,0
192,193,Taylor Hendricks,PF,20,UTA,12,0,14.8,1.8,4.7,0.375,0.8,2.8,0.303,0.9,1.9,0.478,0.464,0.5,0.7,0.75,0.9,1.4,2.3,0.4,0.7,0.6,0.8,0.9,4.8,0
193,194,Tyler Herro,SG,24,MIA,19,19,34.3,8.3,19.1,0.435,3.2,7.8,0.412,5.1,11.3,0.451,0.519,2.6,3.0,0.86,0.6,4.7,5.3,4.5,1.3,0.1,2.4,1.5,22.4,0
194,195,Buddy Hield,SF,31,IND,37,17,25.6,4.6,10.6,0.431,2.8,7.4,0.375,1.8,3.2,0.558,0.561,0.6,0.7,0.84,0.7,2.5,3.2,2.5,0.8,0.6,1.4,2.0,12.5,0
195,196,Haywood Highsmith,PF,27,MIA,23,16,21.5,2.3,5.5,0.421,1.2,3.3,0.364,1.1,2.1,0.51,0.532,0.6,0.8,0.778,0.9,2.1,3.0,1.4,1.0,0.6,0.8,2.1,6.4,0
196,197,Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,0.444,0.8,1.0,0.8,0.0,0.8,0.0,0.667,0.0,0.0,0.0,0.4,0.6,1.0,0.2,0.0,0.0,0.2,1.0,2.4,0
197,198,D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0,0
198,199,Aaron Holiday,PG,27,HOU,34,1,18.0,2.5,5.7,0.436,1.3,3.1,0.411,1.2,2.6,0.466,0.549,0.6,0.7,0.917,0.3,1.7,2.0,1.7,0.5,0.1,0.8,1.6,6.9,0
199,200,Jrue Holiday,PG,33,BOS,34,34,34.5,5.0,10.9,0.457,1.9,4.7,0.406,3.1,6.2,0.495,0.544,1.1,1.4,0.792,1.6,4.9,6.4,4.7,0.9,0.8,2.0,1.7,13.0,0
200,201,Justin Holiday,SG,34,DEN,22,6,14.6,1.5,3.0,0.493,1.0,2.1,0.447,0.5,0.9,0.6,0.649,0.0,0.0,0.0,0.2,1.1,1.3,1.1,0.6,0.0,0.2,1.3,4.0,0
201,202,Richaun Holmes,C,30,DAL,17,1,10.1,1.4,2.7,0.5,0.0,0.0,0.0,1.4,2.7,0.5,0.5,0.5,1.1,0.5,1.5,2.1,3.6,0.5,0.1,0.4,0.6,1.3,3.2,0
202,203,Chet Holmgren,C,21,OKC,36,36,30.1,6.7,12.1,0.555,1.7,4.3,0.403,5.0,7.8,0.639,0.627,2.8,3.5,0.81,1.5,5.9,7.4,2.7,0.6,2.6,1.8,2.7,17.9,0
203,204,Jalen Hood-Schifino,SG,20,LAL,8,0,8.6,0.8,3.5,0.214,0.1,1.1,0.111,0.6,2.4,0.263,0.232,0.6,1.3,0.5,0.3,0.8,1.0,0.6,0.3,0.1,0.6,1.1,2.3,0
204,205,Al Horford,C,37,BOS,31,14,27.1,2.9,6.0,0.487,1.5,3.9,0.397,1.4,2.1,0.652,0.615,0.3,0.4,0.833,1.4,5.5,6.9,3.0,0.5,1.1,0.9,1.6,7.7,0
205,206,Talen Horton-Tucker,PG,23,UTA,30,11,22.0,4.1,10.0,0.411,1.2,3.7,0.333,2.9,6.3,0.457,0.473,1.6,2.0,0.787,0.4,2.1,2.5,4.2,1.1,0.4,1.7,2.1,11.0,0
206,207,Danuel House Jr.,SF,30,PHI,22,0,12.4,1.1,2.7,0.417,0.5,1.5,0.344,0.6,1.3,0.5,0.508,0.6,0.9,0.737,0.4,1.0,1.3,0.8,0.3,0.0,0.6,0.8,3.4,0
207,208,Caleb Houstan,SF,21,ORL,28,2,14.7,1.6,3.8,0.415,1.4,3.5,0.388,0.2,0.3,0.75,0.594,0.5,0.6,0.813,0.5,1.3,1.8,0.6,0.3,0.0,0.3,1.1,5.0,0
208,209,Jett Howard,SF,20,ORL,9,0,4.0,0.6,1.8,0.313,0.3,1.3,0.25,0.2,0.4,0.5,0.406,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.0,0.0,0.2,0.1,1.6,0
209,210,Kevin Huerter,SG,25,SAC,36,31,22.9,3.6,8.6,0.416,1.7,5.1,0.33,1.9,3.4,0.545,0.515,0.7,0.9,0.806,0.5,3.0,3.6,2.5,0.6,0.3,0.6,2.0,9.5,0
210,211,Jay Huff,C,25,DEN,4,0,2.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.5,1.0,0
211,212,De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11.0,0.46,1.9,4.8,0.404,3.2,6.3,0.503,0.547,2.8,3.1,0.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3.0,14.9,0
212,213,Bones Hyland,PG,23,LAC,16,2,14.6,2.6,6.7,0.393,1.3,3.4,0.364,1.4,3.3,0.423,0.486,0.6,0.8,0.833,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1,0
213,214,Joe Ingles,SF,36,ORL,24,0,18.2,1.6,3.9,0.404,1.0,2.5,0.407,0.6,1.5,0.4,0.532,0.7,0.8,0.895,0.5,2.3,2.8,3.4,0.8,0.1,0.8,1.5,4.9,0
214,215,Brandon Ingram,SF,26,NOP,35,35,33.1,8.3,16.5,0.5,1.3,3.8,0.353,6.9,12.7,0.544,0.541,4.2,5.1,0.82,0.6,4.0,4.6,5.4,0.8,0.5,2.5,2.2,22.0,0
215,216,Kyrie Irving,SG,31,DAL,22,22,32.3,9.0,18.8,0.477,2.7,6.6,0.414,6.2,12.2,0.511,0.55,3.3,3.7,0.889,1.0,4.0,5.0,5.0,1.4,0.5,1.5,1.8,23.9,0
216,217,Jonathan Isaac,PF,26,ORL,21,0,13.6,2.3,5.0,0.453,0.6,2.2,0.277,1.7,2.8,0.593,0.514,1.2,1.5,0.781,1.1,3.0,4.1,0.3,0.9,1.2,0.6,1.3,6.4,0
217,218,Jaden Ivey,SG,21,DET,34,18,25.8,4.6,10.1,0.451,1.2,3.8,0.308,3.4,6.3,0.537,0.509,3.0,4.0,0.752,1.3,2.3,3.6,3.3,0.8,0.6,2.2,2.8,13.3,0
218,219,Andre Jackson Jr.,SG,22,MIL,31,6,10.3,1.0,1.9,0.517,0.4,1.0,0.419,0.5,0.9,0.63,0.629,0.2,0.2,0.857,0.7,1.0,1.7,0.9,0.3,0.1,0.5,1.7,2.5,0
219,220,Gregory Jackson II,PF,19,MEM,5,0,4.2,0.6,2.4,0.25,0.4,1.2,0.333,0.2,1.2,0.167,0.333,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.2,0.2,0.2,0.4,1.6,0
220,221,Isaiah Jackson,C,22,IND,29,1,13.9,2.8,4.1,0.681,0.0,0.1,0.0,2.8,4.0,0.692,0.681,1.4,2.1,0.7,1.5,2.7,4.2,0.9,0.6,1.3,0.7,2.8,7.0,0
221,222,Jaren Jackson Jr.,C,24,MEM,36,36,31.6,7.3,15.7,0.461,1.8,5.1,0.352,5.5,10.7,0.513,0.518,5.0,6.0,0.837,1.3,4.4,5.8,1.7,0.8,1.8,2.0,3.6,21.3,0
222,223,Reggie Jackson,PG,33,DEN,39,14,23.3,4.7,10.2,0.465,1.4,3.8,0.378,3.3,6.4,0.516,0.535,0.9,1.3,0.74,0.4,1.7,2.1,4.4,0.6,0.2,1.4,2.0,11.9,0
223,224,Trayce Jackson-Davis,PF,23,GSW,27,3,14.4,2.9,4.2,0.69,0.0,0.0,0.0,2.9,4.2,0.69,0.69,1.1,1.7,0.63,1.8,2.6,4.4,1.0,0.3,0.8,0.8,1.7,6.9,0
224,225,LeBron James,PF,39,LAL,35,35,34.6,9.4,17.8,0.526,2.2,5.5,0.397,7.2,12.3,0.584,0.587,4.2,5.7,0.737,0.9,6.3,7.2,7.5,1.5,0.7,3.3,1.1,25.1,0
225,226,Jaime Jaquez Jr.,SF,22,MIA,37,13,30.5,5.3,10.4,0.51,1.1,3.1,0.36,4.2,7.4,0.574,0.563,2.1,2.5,0.83,1.2,2.6,3.8,2.7,1.1,0.3,1.7,2.5,13.9,0
226,227,DaQuan Jeffries,SG,26,NYK,10,0,3.0,0.5,1.2,0.417,0.1,0.5,0.2,0.4,0.7,0.571,0.458,0.0,0.2,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1,0
227,228,Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,0
228,229,Isaiah Joe,SG,24,OKC,36,0,19.7,3.2,6.9,0.456,2.3,5.3,0.426,0.9,1.7,0.55,0.618,0.8,0.9,0.824,0.3,2.0,2.3,1.1,0.6,0.3,0.6,1.2,9.4,0
229,230,Cameron Johnson,PF,27,BRK,29,29,29.2,5.4,11.7,0.466,2.7,6.4,0.416,2.8,5.3,0.526,0.58,1.3,1.8,0.745,1.2,3.7,4.9,2.5,0.8,0.2,0.9,1.9,14.9,0
230,231,Jalen Johnson,SF,22,ATL,22,19,31.3,6.1,10.4,0.585,1.2,3.0,0.4,4.9,7.5,0.659,0.642,2.0,2.5,0.818,1.4,7.2,8.5,3.0,1.1,0.9,1.9,2.4,15.4,0
231,232,James Johnson,PF,36,IND,4,0,6.0,0.5,1.3,0.4,0.0,0.3,0.0,0.5,1.0,0.5,0.4,0.0,0.0,0.0,0.3,0.8,1.0,1.3,1.0,0.0,0.5,1.0,1.0,0
232,233,Keldon Johnson,SF,24,SAS,34,26,32.2,6.3,13.9,0.455,1.9,5.5,0.346,4.4,8.4,0.526,0.523,3.0,3.8,0.777,1.4,4.8,6.1,3.8,0.9,0.2,1.6,2.5,17.5,0
233,234,Keon Johnson,SG,21,BRK,1,0,21.0,3.0,8.0,0.375,2.0,4.0,0.5,1.0,4.0,0.25,0.5,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0
234,235,Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
235,236,Nikola Joki?,C,28,DEN,38,38,33.3,9.8,17.2,0.574,1.1,3.0,0.348,8.8,14.1,0.622,0.604,4.8,5.8,0.819,2.8,9.0,11.8,9.2,1.2,0.9,2.8,2.6,25.5,1
236,237,Colby Jones,SG,21,SAC,14,0,7.3,1.1,2.7,0.421,0.1,0.9,0.083,1.1,1.9,0.577,0.434,0.1,0.2,0.667,0.6,0.7,1.3,0.4,0.2,0.1,0.3,0.9,2.5,0
237,238,Damian Jones,C,28,CLE,15,0,5.4,0.7,1.1,0.588,0.1,0.2,0.333,0.6,0.9,0.643,0.618,0.1,0.2,0.667,0.3,0.8,1.1,0.3,0.1,0.2,0.3,0.6,1.5,0
238,239,Derrick Jones Jr.,SF,26,DAL,37,36,25.7,3.8,7.8,0.479,1.4,4.1,0.344,2.4,3.8,0.626,0.569,1.4,1.8,0.75,1.3,2.5,3.8,1.0,0.9,0.9,0.9,1.8,10.3,0
239,240,Herbert Jones,SF,25,NOP,35,35,29.3,3.7,7.9,0.475,1.3,3.4,0.367,2.5,4.5,0.558,0.554,2.0,2.3,0.873,1.2,2.6,3.8,2.5,1.3,1.0,1.3,2.9,10.7,0
240,241,Tre Jones,PG,24,SAS,32,3,24.3,3.5,7.3,0.483,0.5,2.1,0.239,3.0,5.2,0.582,0.517,1.2,1.4,0.864,0.7,2.2,2.9,4.9,0.8,0.2,1.5,1.3,8.7,0
241,242,Tyus Jones,PG,27,WAS,37,37,27.9,5.3,10.0,0.526,1.6,3.7,0.431,3.7,6.3,0.581,0.605,0.5,0.7,0.731,0.3,2.5,2.8,5.5,1.2,0.3,0.9,0.7,12.6,0
242,243,DeAndre Jordan,C,35,DEN,16,1,13.3,2.0,3.3,0.615,0.0,0.0,0.0,2.0,3.3,0.615,0.615,1.1,2.5,0.425,1.9,3.4,5.4,1.0,0.3,0.6,0.9,1.8,5.1,0
243,244,Cory Joseph,PG,32,GSW,18,0,10.4,0.6,2.3,0.262,0.3,1.5,0.185,0.3,0.8,0.4,0.321,0.2,0.4,0.571,0.2,0.6,0.8,1.7,0.2,0.1,0.6,0.9,1.7,0
244,245,Nikola Jovi?,PF,20,MIA,11,6,17.0,2.3,4.7,0.481,1.3,2.7,0.467,1.0,2.0,0.5,0.615,0.8,1.4,0.6,0.8,4.0,4.8,2.4,0.5,0.4,0.8,2.5,6.6,0
245,246,Johnny Juzang,SG,22,UTA,1,0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
246,247,Luke Kennard,SG,27,MEM,14,2,21.2,2.8,6.8,0.411,2.2,5.4,0.413,0.6,1.4,0.4,0.574,0.8,0.8,1.0,0.4,2.6,3.1,2.3,0.5,0.1,0.6,0.9,8.6,0
247,248,Walker Kessler,C,22,UTA,31,13,24.1,4.0,6.3,0.639,0.1,0.5,0.25,3.9,5.7,0.674,0.649,0.7,1.3,0.538,2.7,5.1,7.7,0.7,0.5,2.6,1.1,2.1,8.8,0
248,249,Braxton Key,SF,26,DEN,12,0,3.7,0.4,1.2,0.357,0.1,0.3,0.25,0.3,0.8,0.4,0.393,0.3,0.4,0.8,0.2,0.7,0.8,0.7,0.2,0.0,0.0,0.3,1.3,0
249,250,Corey Kispert,SF,24,WAS,36,1,22.2,4.1,8.6,0.484,2.0,5.4,0.371,2.1,3.2,0.675,0.601,1.4,1.9,0.735,0.4,1.7,2.1,1.5,0.3,0.2,1.0,1.6,11.7,0
250,251,Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,0.25,0.6,1.8,0.333,0.2,1.4,0.143,0.344,1.2,2.0,0.6,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4,0
251,252,Kevin Knox,SF,24,DET,20,5,17.9,3.2,6.7,0.481,1.3,3.5,0.357,2.0,3.2,0.619,0.575,0.6,0.7,0.857,0.7,1.7,2.3,0.7,0.5,0.3,0.7,1.6,8.3,0
252,253,John Konchar,SF,27,MEM,29,2,16.3,1.1,3.1,0.367,0.6,2.0,0.31,0.5,1.1,0.469,0.467,0.3,0.4,0.818,1.0,2.9,3.9,1.3,0.7,0.7,0.4,0.9,3.2,0
253,254,Furkan Korkmaz,SG,26,PHI,21,0,6.7,0.7,1.8,0.378,0.2,0.9,0.263,0.4,0.9,0.5,0.446,0.3,0.4,0.778,0.0,0.4,0.5,0.5,0.5,0.0,0.3,0.4,1.9,0
254,255,Luke Kornet,C,28,BOS,24,1,14.2,2.2,3.2,0.684,0.0,0.0,0.0,2.2,3.2,0.684,0.684,0.9,1.0,0.875,1.9,1.8,3.7,0.8,0.5,1.0,0.4,1.2,5.2,0
255,256,Jonathan Kuminga,PF,21,GSW,36,15,22.8,4.7,9.4,0.503,0.7,2.5,0.27,4.1,6.9,0.586,0.538,2.6,3.8,0.699,1.2,2.9,4.1,1.6,0.6,0.3,1.5,2.1,12.8,0
256,257,Kyle Kuzma,PF,28,WAS,37,37,31.1,8.7,18.9,0.459,2.4,6.8,0.344,6.3,12.1,0.523,0.521,2.5,3.3,0.777,1.0,5.2,6.2,4.2,0.4,0.5,2.7,2.1,22.2,0
257,258,Jock Landale,C,28,HOU,21,0,8.7,0.7,2.0,0.349,0.1,0.7,0.143,0.6,1.4,0.448,0.372,0.4,0.5,0.8,0.9,0.9,1.8,0.5,0.2,0.3,0.4,1.0,1.9,0
258,259,Jake LaRavia,PF,22,MEM,9,0,11.2,1.2,3.7,0.333,0.3,2.2,0.15,0.9,1.4,0.615,0.379,0.1,0.2,0.5,0.6,0.8,1.3,0.6,0.1,0.0,0.4,1.7,2.9,0
259,260,Zach LaVine,SG,28,CHI,21,19,35.3,7.0,15.8,0.446,2.4,7.0,0.34,4.7,8.8,0.53,0.521,3.9,4.5,0.853,0.4,4.8,5.2,3.7,1.0,0.3,2.1,2.1,20.3,0
260,261,A.J. Lawson,SG,23,DAL,16,0,10.3,1.8,3.7,0.475,0.6,1.9,0.333,1.1,1.8,0.621,0.559,0.6,0.9,0.714,0.5,0.9,1.4,0.6,0.6,0.1,0.5,0.8,4.8,0
261,262,Saben Lee,PG,24,PHO,10,0,6.9,0.8,1.9,0.421,0.0,0.4,0.0,0.8,1.5,0.533,0.421,1.3,1.7,0.765,0.5,0.5,1.0,1.1,0.3,0.3,0.4,0.6,2.9,0
262,263,Alex Len,C,30,SAC,13,0,9.0,1.2,1.8,0.652,0.0,0.1,0.0,1.2,1.7,0.682,0.652,0.3,0.8,0.4,1.4,2.2,3.6,1.3,0.2,0.6,0.5,0.8,2.6,0
263,264,Kawhi Leonard,SF,32,LAC,33,33,34.6,8.9,17.2,0.518,2.3,5.3,0.432,6.6,11.9,0.556,0.585,3.9,4.4,0.877,1.1,4.9,6.0,3.5,1.7,0.8,1.6,1.5,24.0,1
