,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Allstar True
64,65,Charlie Brown Jr.,SG,26,NYK,3,0,1.7,0.3,1.3,0.25,0.3,1.0,0.333,0.0,0.3,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0
65,66,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,0.455,0.2,0.5,0.333,0.7,1.3,0.5,0.5,0.7,1.5,0.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,0
66,67,Jaylen Brown,SF,27,BOS,35,35,34.1,9.0,18.2,0.494,2.2,6.1,0.36,6.8,12.1,0.561,0.554,3.3,4.5,0.744,0.9,4.3,5.2,3.5,1.1,0.6,2.7,2.6,23.5,1
67,68,Kendall Brown,SG,20,IND,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,69,Kobe Brown,PF,24,LAC,24,0,10.3,0.9,2.3,0.4,0.5,1.5,0.306,0.5,0.8,0.579,0.5,0.0,0.1,0.5,0.3,1.2,1.5,0.6,0.3,0.1,0.2,1.5,2.3,0
69,70,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,0.429,0.0,0.0,0.0,1.0,2.3,0.429,0.429,0.0,0.4,0.0,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0,0
70,71,Troy Brown Jr.,SF,24,MIN,32,3,12.0,1.5,3.4,0.444,0.9,2.4,0.368,0.6,1.0,0.625,0.574,0.6,0.7,0.864,0.4,1.7,2.1,0.9,0.3,0.1,0.5,0.7,4.5,0
71,72,Jalen Brunson,PG,27,NYK,37,37,35.6,9.0,19.2,0.469,2.8,6.6,0.426,6.2,12.6,0.491,0.542,4.8,5.8,0.831,0.6,3.2,3.9,6.4,1.0,0.2,2.3,2.1,25.6,1
72,73,Thomas Bryant,C,26,MIA,20,3,11.4,2.0,3.6,0.556,0.0,0.2,0.0,2.0,3.5,0.58,0.556,0.9,1.0,0.85,1.1,2.5,3.6,0.6,0.3,0.3,0.8,1.2,4.9,0
73,74,Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0
74,75,Reggie Bullock,SF,32,HOU,15,0,8.6,0.8,2.1,0.387,0.5,1.5,0.364,0.3,0.6,0.444,0.516,0.1,0.1,1.0,0.1,1.0,1.1,0.5,0.1,0.1,0.2,0.5,2.2,0
75,76,Alec Burks,SG,32,DET,31,0,19.2,3.3,8.8,0.376,1.9,5.2,0.37,1.4,3.6,0.384,0.485,2.6,3.0,0.882,0.5,1.9,2.3,1.4,0.4,0.2,0.7,1.4,11.2,0
76,77,Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,0.56,0.6,1.4,0.417,1.1,1.5,0.692,0.66,0.7,0.9,0.8,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6,0
77,78,Jimmy Butler,PF,34,MIA,24,24,33.6,6.5,14.0,0.464,0.8,2.2,0.377,5.7,11.8,0.481,0.494,7.1,8.1,0.881,1.9,3.2,5.0,4.5,1.0,0.4,1.8,1.1,21.0,0
78,79,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,0.439,0.6,1.8,0.32,1.5,2.9,0.512,0.5,1.0,1.4,0.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7,0
79,80,Kentavious Caldwell-Pope,SG,30,DEN,37,37,32.1,3.6,7.8,0.46,1.5,3.6,0.403,2.1,4.1,0.51,0.554,1.5,1.7,0.903,0.5,1.7,2.2,2.6,1.5,0.6,1.1,1.9,10.1,0
80,81,Toumani Camara,PF,23,POR,35,26,25.0,2.6,6.4,0.411,0.9,2.9,0.297,1.8,3.5,0.504,0.478,0.9,1.4,0.673,2.0,3.0,5.0,1.0,1.0,0.5,1.2,2.8,7.1,0
81,82,Clint Capela,C,29,ATL,34,34,26.4,4.9,8.4,0.582,0.0,0.0,0.0,4.9,8.4,0.582,0.582,1.8,2.7,0.674,5.0,5.8,10.8,1.1,0.7,1.7,0.9,2.7,11.6,0
82,83,Jevon Carter,PG,28,CHI,38,0,14.4,2.0,5.5,0.359,1.2,3.5,0.336,0.8,2.0,0.4,0.467,0.1,0.1,0.6,0.1,0.6,0.7,1.2,0.6,0.3,0.5,1.2,5.2,0
83,84,Wendell Carter Jr.,C,24,ORL,13,10,24.4,2.8,6.7,0.425,1.0,2.5,0.406,1.8,4.2,0.436,0.5,1.4,2.0,0.692,1.5,4.8,6.4,1.8,0.3,0.5,1.2,2.2,8.1,0
84,85,Alex Caruso,SG,29,CHI,32,20,24.9,3.5,7.1,0.493,1.6,4.0,0.409,1.9,3.1,0.6,0.608,1.3,1.7,0.759,1.1,2.4,3.5,2.5,1.3,0.8,1.3,2.4,9.9,0
85,86,Colin Castleton,C,23,LAL,4,0,7.0,1.3,2.0,0.625,0.0,0.0,0.0,1.3,2.0,0.625,0.625,0.5,0.5,1.0,0.8,1.0,1.8,0.8,0.0,0.0,0.0,1.3,3.0,0
86,87,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87,88,Julian Champagnie,SF,22,SAS,29,14,14.7,1.7,4.3,0.392,1.2,3.2,0.383,0.4,1.1,0.419,0.536,0.7,0.9,0.84,0.3,1.6,1.9,0.9,0.6,0.6,0.7,1.1,5.3,0
88,89,Max Christie,SG,20,LAL,28,6,17.7,1.9,4.7,0.405,0.7,2.3,0.313,1.2,2.4,0.493,0.481,0.5,0.7,0.75,0.3,2.7,3.0,1.0,0.4,0.3,0.8,1.3,5.0,0
